Title,Body,Stars
Ne puoi fare a meno fin quando non lo provi!,"  SPEDIZIONE Amazon sulle spedizione è una garanzia, meno di 24 ore per la consegna   IMBALLAGGIO E CONFEZIONE L echo dot è arrivato in una scatola Amazon di cartone assieme ad altri prodotti, protetto da un foglio accartocciato di carta riciclata La confezione è in cartone, di colore blu, sopra è raffigurato l echo dot, il marchio Amazon, il testo  echo dot  e per distinguerlo da quello di quarta generazione, in alto a destra un triangolino con stampigliato  5th generazione   Sul retro le diverse specifiche All interno della confezione oltre all echo dot, troviamo manualistica, una protezione in cartone, e alimentatore con cavo    RECENSIONE PRODOTTO L amazon echo risulta di buona fattura, si presenta di forma sferica con 4 tastini superiormente e un ingresso al posteriore dedicato all alimentazione Suddiviso in due parti, una in plastica che protegge l elettronica e la parte superiore in una sorta di retina dove è presente l altoparlante da 1,7 pollici Di seguito alcune specifiche Dimensioni  100 x 100 x 89 mmAltoparlanti  Altoparlante da 1,7   44 mm  a diffusione anterioreFormati audio supportati  Audio ad alta definizione, senza perditeMicrofono   IntegratoSensore di temperatura  SiPeso  340 grammiAudio  Altoparlante da 1,73   44 mm  a diffusione anterioreUscita audio   NoConnettività Wi Fi  Il Wi Fi dual band è compatibile con reti 802 11 a b g n ac da 2,4 e 5 GHz  Non compatibile con reti Wi Fi ad hoc  o peer to peer  Protocolli per Casa Intelligente Wi Fi, Bluetooth Low Energy MeshConnettività Bluetooth  Compatibile con Advanced Audio Distribution Profile  A2DP  per lo streaming di contenuti audio dal tuo dispositivo mobile a Echo Dot o da Echo Dot a un altoparlante Bluetooth  Audio Video Remote Control Profile  AVRCP  per controllare i dispositivi mobili connessi tramite comando vocale Requisiti di sistema  Puoi connettere Echo Dot immediatamente al Wi Fi tramite l App AlexaDisponibile in diverse colorazioni io ho scelto la più classica antracite, elegante con il suo anello RGB posto sul fondo si adatta ad ogni stile ed arredamento  L unica pecca è data dall alimentatore che assieme al cavo è di colore bianco La configurazione è avvenuta in un lampo tramite l app Alexa di Amazon installata sullo smartphone  Il wifi è stato subito riconosciuto e in pochi e semplici passi Alexa ha preso vita Le funzioni da utilizzare sono svariate, dal comandare una semplice lampadina o presa intelligente, a gestire autonomamente una routine, ovvero una serie di azioni La compatibilità con altri accessori, anche di diverse marche, è immediata questo grazie alle skills, una sorta di app di diversi fornitori da installare all interno dell echo dot Personalmente ho collegato ad  Alexa  qualche luce wifi, delle prese smart, una TV e videocamere di sorveglianza  Tutto gestito nel migliore dei modi Per attivarla basta pronunciare Alexa e l azione da farle eseguire  Il microfono è ottimo riesce a comprenderlo sempre o quasi, inoltre riconosce i comandi detti a voce bassa e ti risponde di conseguenza, utile di notte per evitare di fare rumore Altra funzione interessante è data dalle routine, ovvero impostare una serie di azioni che Alexa tramite l echo dot può svolgere autonomamente, partendo da un input come una frase, un rilevamento da un sensore, un suono o una presenza Ad esempio ho impostato che la mattina in una precisa fascia oraria, al rilevamento di una persona nella stanza, si scendano le luci, Alexa dia il buongiorno, notizie meteo e news del giorno  Comodo, per impostare le routine anche il sensore di temperatura interno, che ad esempio può comandare il riscaldamento etc   Sicuramente il sensore di presenza e di temperatura sono le chicche più importanti per questo nuovo echo dot Oltre il domotizzare casa l eco dot ci da la possibiltà di avere vere e proprie interazioni con Alexa, può raccontare una storia, una barzelletta, fare un gioco etc, inoltre è possibile ascoltare la radio, una canzone, chiamate, insomma l unica vera limitazione è la nostra fantasia Dal punto di vista tecnico, l audio è spettacolare per essere così piccolo gli ingegneri che l hanno progettato hanno fatto un buon lavoro, i bassi sono corposi e il suono definito, il microfono, come detto in precedenza è di ottima qualità   CONCLUSIONE Io ero scettico, indeciso sull acquisto, probabilmente se non l avessi preso, non sarebbe cambiato nulla e avrei potuto farne a meno ancora per molto, ma ormai è pane quotidiano, impostare una sveglia, un promemoria, un timer, scrivere la lista della spesa, seguire una ricetta è diventato tutto più facile Consiglio l acquisto  Si e no, ovvero, dipende dall utilità che può avere soggettivamente Tecnicamente lo consiglio in modo spassionato, un gingillo tech di ottima fattura e bella presenza Note dolenti come scritto precedentemente il filo e l alimentatore bianco rispetto al dot nero, e la mancanza di una uscita jack audio Il prezzo giusto  25 30  a queste cifre è un affare ","5,0"
"Qualità audio ottima, ma attenzione a disattivare la modalità la rilevazione ad ultrasuoni.","L Echo Dot è un dispositivo interessante, ma ha alti e bassi Iniziamo con il lato positivo  l audio dell Echo Dot è davvero sorprendente  Nonostante le dimensioni compatte, riesce a produrre un suono chiaro e potente  Sia che tu voglia ascoltare musica, podcast o semplicemente chiedere informazioni, l Echo Dot offre una buona esperienza sonora Purtroppo, il riconoscimento vocale non è sempre all altezza  A volte Alexa fatica a capire i comandi, interpretandoli in modo errato o ignorandoli completamente  Questo può essere frustrante, soprattutto quando si desidera un esperienza fluida e senza intoppi  Spero che in futuro vengano apportati miglioramenti a questo aspetto L integrazione degli ultrasuoni, promossa come una funzione innovativa dell Echo Dot, si è rivelata un flop La capacità di rilevare la presenza attraverso gli ultrasuoni sembrava promettente, ma purtroppo ha causato problemi all audio  Dopo aver utilizzato questa funzione, ho notato una netta diminuzione della qualità del suono  Il volume è diventato debole e il suono distorto  Questo è un grande punto negativo  Ho dovuto disabilitarla","4,0"
La domotica alla portata di tutti,"  SPEDIZIONE Rapidissima come da tradizione Amazon  echo arrivato in un giorno    RECENSIONE PRODOTTO L amazon echo risulta di buona fattura, si presenta di forma sferica con 4 tastini superiormente e un ingresso al posteriore dedicato all alimentazione Suddiviso in due parti, una in plastica che protegge l elettronica e la parte superiore in una sorta di retina dove è presente l altoparlante da 1,7 pollici Di seguito alcune specifiche Dimensioni  100 x 100 x 89 mmAltoparlanti  Altoparlante da 1,7   44 mm  a diffusione anterioreFormati audio supportati  Audio ad alta definizione, senza perditeMicrofono  IntegratoSensore di temperatura  SiPeso  340 grammiAudio  Altoparlante da 1,73   44 mm  a diffusione anterioreUscita audio  NoConnettività Wi Fi  Il Wi Fi dual band è compatibile con reti 802 11 a b g n ac da 2,4 e 5 GHz  Non compatibile con reti Wi Fi ad hoc  o peer to peer  Protocolli per Casa Intelligente Wi Fi, Bluetooth Low Energy MeshConnettività Bluetooth  Compatibile con Advanced Audio Distribution Profile  A2DP  per lo streaming di contenuti audio dal tuo dispositivo mobile a Echo Dot o da Echo Dot a un altoparlante Bluetooth  Audio Video Remote Control Profile  AVRCP  per controllare i dispositivi mobili connessi tramite comando vocale Disponibile in diverse colorazioni io ho scelto la più classica antracite, elegante con il suo anello RGB posto sul fondo si adatta ad ogni stile ed arredamento  L unica pecca è data dall alimentatore che assieme al cavo è di colore bianco La configurazione è avvenuta in un lampo tramite l app Alexa di Amazon installata sullo smartphone  Il wifi è stato subito riconosciuto e in pochi e semplici passi Alexa ha preso vita Le funzioni da utilizzare sono svariate, dal comandare una semplice lampadina o presa intelligente, a gestire autonomamente una routine, ovvero una serie di azioni La compatibilità con altri accessori, anche di diverse marche, è immediata grazie alle skills installabili Personalmente ho collegato ad  Alexa  qualche luce wifi, delle prese smart, una TV e videocamere di sorveglianza  Tutto gestito nel migliore dei modi Per attivarla basta pronunciare Alexa e l azione da farle eseguire  Il microfono è ottimo riesce a comprenderlo sempre o quasi, inoltre riconosce i comandi detti a voce bassa e ti risponde di conseguenza, utile di notte per evitare di fare rumore Altra funzione interessante è data dalle routine, ovvero impostare una serie di azioni che Alexa tramite l echo dot può svolgere autonomamente, partendo da un input come una frase, un rilevamento da un sensore, un suono o una presenza Sicuramente il sensore di presenza e di temperatura sono le chicche più importanti per questo nuovo echo dot Oltre il domotizzare casa l eco dot ci da la possibiltà di avere vere e proprie interazioni con Alexa, può raccontare una storia, una barzelletta, fare un gioco etc, inoltre è possibile ascoltare la radio, una canzone, chiamate, insomma l unica vera limitazione è la nostra fantasia   CONCLUSIONE Con soli 25 30 euro è possibile dotarsi di un hub con cui integrare moltissime skill domotiche Consiglio l acquisto  Si, ottimo upgrade per chi ha già alcuni dispositivi integrabili  lampade, termostato, prese smart  ","5,0"
Echo Dot 5: Un assistente virtuale di qualità superiore,"Ho acquistato l Echo Dot 5 e devo dire che sono rimasto completamente soddisfatto delle sue prestazioni  La qualità del suono è sorprendente per un dispositivo di dimensioni così compatte, con bassi profondi e acuti cristallini che riempiono l ambiente  L assistente virtuale Alexa è estremamente reattivo e intuitivo, rispondendo prontamente a tutte le mie richieste  Inoltre, la connettività con altri dispositivi smart nella mia casa è stata senza problemi, consentendomi di controllare luci e molto altro ancora con semplici comandi vocali  L Echo Dot 5 si è dimostrato un alleato versatile e affidabile nella mia routine quotidiana  Lo consiglio vivamente a chiunque sia alla ricerca di un assistente virtuale di qualità superiore ","5,0"
"Buona, ma non perfetta","Rispetto al precedente Dot è più forte come suono, ma è molto più direzionale e il dialogo a volte si fatica a comprendere  anche perché l eq vale solo per la musica, non Alexa in se , sarebbe carina una modalità per far livellare in automatico il volume in base all ambiente circostante Le aggiunte di sensore a ultrasuoni e di temperature sono molto buone ","4,0"
Mi ha conquistato!,"L ho acquistato così, un po  per curiosità  Ma sono rimasto conquistato dalla profondità e purezza del suono  Incredibile come un diffusore così piccolo possa essere non solo potente, ma fedele nella riproduzione senza distorcere a qualsiasi volume  Applausi a scena aperta  brava Alexa ","5,0"
Chi non lo conosce?,"Il piccolo assistente vocale di Alexa  Bello ed elegante  Il suono, nonostante le dimensioni, è chiaro e potente  La risposta alle richieste è immediata  L ho preso durante una delle tante promozioni e credo che alla prossima ne prenderò un altro, anche perché vorrei provare a collegarlo alla tv smart per realizzare una specie di impianto stereo wireless Consigliato ","5,0"
Bello ma ho fatto il reso,Lo avevo preso per rispondere al citofono con ring intercom   Ogni volta per aprire il cancelo dovevo dire un pin vocale   una menata    Ho fatto il reso,"4,0"
Dipendenza,Non ti rendi conto della sua utilità fin quando non lo compri  Non riesci a farne più a mano  Sembra una persona in più in casa  Acquisto più che ottimo,"5,0"
Presenza discreta.,Da quando è arrivata a casa nostra ha subito preso il suo posto in cucina  Viene spesso consultata da tutti noi     Speriamo duri nel tempo      ,"5,0"
