Title,Body,Stars,Polarity,Polarity_Text
ne puoi fare a meno fin quando non lo provi ,  spedizione amazon sulle spedizione   una garanzia  meno di    ore per la consegna   imballaggio e confezione l echo dot   arrivato in una scatola amazon di cartone assieme ad altri prodotti  protetto da un foglio accartocciato di carta riciclata la confezione   in cartone  di colore blu  sopra   raffigurato l echo dot  il marchio amazon  il testo  echo dot  e per distinguerlo da quello di quarta generazione  in alto a destra un triangolino con stampigliato   th generazione   sul retro le diverse specifiche all interno della confezione oltre all echo dot  troviamo manualistica  una protezione in cartone  e alimentatore con cavo    recensione prodotto l amazon echo risulta di buona fattura  si presenta di forma sferica con   tastini superiormente e un ingresso al posteriore dedicato all alimentazione suddiviso in due parti  una in plastica che protegge l elettronica e la parte superiore in una sorta di retina dove   presente l altoparlante da     pollici di seguito alcune specifiche dimensioni      x     x    mmaltoparlanti  altoparlante da          mm  a diffusione anterioreformati audio supportati  audio ad alta definizione  senza perditemicrofono   integratosensore di temperatura  sipeso      grammiaudio  altoparlante da           mm  a diffusione anterioreuscita audio   noconnettivit  wi fi  il wi fi dual band   compatibile con reti        a b g n ac da     e   ghz  non compatibile con reti wi fi ad hoc  o peer to peer  protocolli per casa intelligente wi fi  bluetooth low energy meshconnettivit  bluetooth  compatibile con advanced audio distribution profile  a dp  per lo streaming di contenuti audio dal tuo dispositivo mobile a echo dot o da echo dot a un altoparlante bluetooth  audio video remote control profile  avrcp  per controllare i dispositivi mobili connessi tramite comando vocale requisiti di sistema  puoi connettere echo dot immediatamente al wi fi tramite l app alexadisponibile in diverse colorazioni io ho scelto la pi  classica antracite  elegante con il suo anello rgb posto sul fondo si adatta ad ogni stile ed arredamento  l unica pecca   data dall alimentatore che assieme al cavo   di colore bianco la configurazione   avvenuta in un lampo tramite l app alexa di amazon installata sullo smartphone  il wifi   stato subito riconosciuto e in pochi e semplici passi alexa ha preso vita le funzioni da utilizzare sono svariate  dal comandare una semplice lampadina o presa intelligente  a gestire autonomamente una routine  ovvero una serie di azioni la compatibilit  con altri accessori  anche di diverse marche    immediata questo grazie alle skills  una sorta di app di diversi fornitori da installare all interno dell echo dot personalmente ho collegato ad  alexa  qualche luce wifi  delle prese smart  una tv e videocamere di sorveglianza  tutto gestito nel migliore dei modi per attivarla basta pronunciare alexa e l azione da farle eseguire  il microfono   ottimo riesce a comprenderlo sempre o quasi  inoltre riconosce i comandi detti a voce bassa e ti risponde di conseguenza  utile di notte per evitare di fare rumore altra funzione interessante   data dalle routine  ovvero impostare una serie di azioni che alexa tramite l echo dot pu  svolgere autonomamente  partendo da un input come una frase  un rilevamento da un sensore  un suono o una presenza ad esempio ho impostato che la mattina in una precisa fascia oraria  al rilevamento di una persona nella stanza  si scendano le luci  alexa dia il buongiorno  notizie meteo e news del giorno  comodo  per impostare le routine anche il sensore di temperatura interno  che ad esempio pu  comandare il riscaldamento etc   sicuramente il sensore di presenza e di temperatura sono le chicche pi  importanti per questo nuovo echo dot oltre il domotizzare casa l eco dot ci da la possibilt  di avere vere e proprie interazioni con alexa  pu  raccontare una storia  una barzelletta  fare un gioco etc  inoltre   possibile ascoltare la radio  una canzone  chiamate  insomma l unica vera limitazione   la nostra fantasia dal punto di vista tecnico  l audio   spettacolare per essere cos  piccolo gli ingegneri che l hanno progettato hanno fatto un buon lavoro  i bassi sono corposi e il suono definito  il microfono  come detto in precedenza   di ottima qualit    conclusione io ero scettico  indeciso sull acquisto  probabilmente se non l avessi preso  non sarebbe cambiato nulla e avrei potuto farne a meno ancora per molto  ma ormai   pane quotidiano  impostare una sveglia  un promemoria  un timer  scrivere la lista della spesa  seguire una ricetta   diventato tutto pi  facile consiglio l acquisto  si e no  ovvero  dipende dall utilit  che pu  avere soggettivamente tecnicamente lo consiglio in modo spassionato  un gingillo tech di ottima fattura e bella presenza note dolenti come scritto precedentemente il filo e l alimentatore bianco rispetto al dot nero  e la mancanza di una uscita jack audio il prezzo giusto         a queste cifre   un affare ,"5,0",0.2335,Good
qualit  audio ottima  ma attenzione a disattivare la modalit  la rilevazione ad ultrasuoni ,l echo dot   un dispositivo interessante  ma ha alti e bassi iniziamo con il lato positivo  l audio dell echo dot   davvero sorprendente  nonostante le dimensioni compatte  riesce a produrre un suono chiaro e potente  sia che tu voglia ascoltare musica  podcast o semplicemente chiedere informazioni  l echo dot offre una buona esperienza sonora purtroppo  il riconoscimento vocale non   sempre all altezza  a volte alexa fatica a capire i comandi  interpretandoli in modo errato o ignorandoli completamente  questo pu  essere frustrante  soprattutto quando si desidera un esperienza fluida e senza intoppi  spero che in futuro vengano apportati miglioramenti a questo aspetto l integrazione degli ultrasuoni  promossa come una funzione innovativa dell echo dot  si   rivelata un flop la capacit  di rilevare la presenza attraverso gli ultrasuoni sembrava promettente  ma purtroppo ha causato problemi all audio  dopo aver utilizzato questa funzione  ho notato una netta diminuzione della qualit  del suono  il volume   diventato debole e il suono distorto  questo   un grande punto negativo  ho dovuto disabilitarla,"4,0",0.0809,Good
la domotica alla portata di tutti,  spedizione rapidissima come da tradizione amazon  echo arrivato in un giorno    recensione prodotto l amazon echo risulta di buona fattura  si presenta di forma sferica con   tastini superiormente e un ingresso al posteriore dedicato all alimentazione suddiviso in due parti  una in plastica che protegge l elettronica e la parte superiore in una sorta di retina dove   presente l altoparlante da     pollici di seguito alcune specifiche dimensioni      x     x    mmaltoparlanti  altoparlante da          mm  a diffusione anterioreformati audio supportati  audio ad alta definizione  senza perditemicrofono  integratosensore di temperatura  sipeso      grammiaudio  altoparlante da           mm  a diffusione anterioreuscita audio  noconnettivit  wi fi  il wi fi dual band   compatibile con reti        a b g n ac da     e   ghz  non compatibile con reti wi fi ad hoc  o peer to peer  protocolli per casa intelligente wi fi  bluetooth low energy meshconnettivit  bluetooth  compatibile con advanced audio distribution profile  a dp  per lo streaming di contenuti audio dal tuo dispositivo mobile a echo dot o da echo dot a un altoparlante bluetooth  audio video remote control profile  avrcp  per controllare i dispositivi mobili connessi tramite comando vocale disponibile in diverse colorazioni io ho scelto la pi  classica antracite  elegante con il suo anello rgb posto sul fondo si adatta ad ogni stile ed arredamento  l unica pecca   data dall alimentatore che assieme al cavo   di colore bianco la configurazione   avvenuta in un lampo tramite l app alexa di amazon installata sullo smartphone  il wifi   stato subito riconosciuto e in pochi e semplici passi alexa ha preso vita le funzioni da utilizzare sono svariate  dal comandare una semplice lampadina o presa intelligente  a gestire autonomamente una routine  ovvero una serie di azioni la compatibilit  con altri accessori  anche di diverse marche    immediata grazie alle skills installabili personalmente ho collegato ad  alexa  qualche luce wifi  delle prese smart  una tv e videocamere di sorveglianza  tutto gestito nel migliore dei modi per attivarla basta pronunciare alexa e l azione da farle eseguire  il microfono   ottimo riesce a comprenderlo sempre o quasi  inoltre riconosce i comandi detti a voce bassa e ti risponde di conseguenza  utile di notte per evitare di fare rumore altra funzione interessante   data dalle routine  ovvero impostare una serie di azioni che alexa tramite l echo dot pu  svolgere autonomamente  partendo da un input come una frase  un rilevamento da un sensore  un suono o una presenza sicuramente il sensore di presenza e di temperatura sono le chicche pi  importanti per questo nuovo echo dot oltre il domotizzare casa l eco dot ci da la possibilt  di avere vere e proprie interazioni con alexa  pu  raccontare una storia  una barzelletta  fare un gioco etc  inoltre   possibile ascoltare la radio  una canzone  chiamate  insomma l unica vera limitazione   la nostra fantasia   conclusione con soli       euro   possibile dotarsi di un hub con cui integrare moltissime skill domotiche consiglio l acquisto  si  ottimo upgrade per chi ha gi  alcuni dispositivi integrabili  lampade  termostato  prese smart  ,"5,0",0.4012,Good
echo dot    un assistente virtuale di qualit  superiore,ho acquistato l echo dot   e devo dire che sono rimasto completamente soddisfatto delle sue prestazioni  la qualit  del suono   sorprendente per un dispositivo di dimensioni cos  compatte  con bassi profondi e acuti cristallini che riempiono l ambiente  l assistente virtuale alexa   estremamente reattivo e intuitivo  rispondendo prontamente a tutte le mie richieste  inoltre  la connettivit  con altri dispositivi smart nella mia casa   stata senza problemi  consentendomi di controllare luci e molto altro ancora con semplici comandi vocali  l echo dot   si   dimostrato un alleato versatile e affidabile nella mia routine quotidiana  lo consiglio vivamente a chiunque sia alla ricerca di un assistente virtuale di qualit  superiore ,"5,0",-0.1788,Bad
buona  ma non perfetta,rispetto al precedente dot   pi  forte come suono  ma   molto pi  direzionale e il dialogo a volte si fatica a comprendere  anche perch  l eq vale solo per la musica  non alexa in se   sarebbe carina una modalit  per far livellare in automatico il volume in base all ambiente circostante le aggiunte di sensore a ultrasuoni e di temperature sono molto buone ,"4,0",0.25,Good
mi ha conquistato ,l ho acquistato cos   un po  per curiosit   ma sono rimasto conquistato dalla profondit  e purezza del suono  incredibile come un diffusore cos  piccolo possa essere non solo potente  ma fedele nella riproduzione senza distorcere a qualsiasi volume  applausi a scena aperta  brava alexa ,"5,0",-0.189,Bad
chi non lo conosce ,il piccolo assistente vocale di alexa  bello ed elegante  il suono  nonostante le dimensioni    chiaro e potente  la risposta alle richieste   immediata  l ho preso durante una delle tante promozioni e credo che alla prossima ne prender  un altro  anche perch  vorrei provare a collegarlo alla tv smart per realizzare una specie di impianto stereo wireless consigliato ,"5,0",0.2108,Good
bello ma ho fatto il reso,lo avevo preso per rispondere al citofono con ring intercom   ogni volta per aprire il cancelo dovevo dire un pin vocale   una menata    ho fatto il reso,"4,0",-0.1335,Bad
piccolo ma potente,dispositivo preso in accoppiata ad una lampadina smart  semplice nell installazione e veramente comodo nell uso quotidiano  non ha nulla da invidiare al  fratello pi  grande  in termini di audio  la sveglia mattutina si fa sentire forte e chiaro  da prendere se si vuole rendere la casa un po  pi  smart ,"5,0",0.2476,Good
dipendenza,non ti rendi conto della sua utilit  fin quando non lo compri  non riesci a farne pi  a mano  sembra una persona in pi  in casa  acquisto pi  che ottimo,"5,0",0.25,Good
